id,id,Star_name_x,Distance_x,Mass_x,Radius_x,Star_name_y,Distance_y,Mass_y,Radius_y,Luminosity
56,73,2MASS J07075327-4900503,60.0,0.068730336,0.10584589,Betelgeuse,0640[1],20,950,"60,000"
57,74,UGPS J072227.51-054031.2,13.4,0.024819288000000002,0.10070773999999999,Betelgeuse,0640[1],20,950,"60,000"
58,75,2MASSI J0727182+171001 [de],29.6,0.039138108,0.09659721999999998,Betelgeuse,0640[1],20,950,"60,000"
59,76,2MASS J07290002-3954043 [de],25.8,0.035319756,0.09659721999999998,Betelgeuse,0640[1],20,950,"60,000"
60,77,SDSS J074201.41+205520.5 [de],49.0,0.041047284,0.09659721999999998,Betelgeuse,0640[1],20,950,"60,000"
61,79,DENIS-P J0751164-253043 [de],55.0,0.067775748,0.10584589,Betelgeuse,0640[1],20,950,"60,000"
62,80,2MASS J07522390+1612157,60.0,0.064911984,0.20655362999999996,Achernar,0144,6.7,9.3,"3,000"
63,81,DENIS J081730.0-615520,16.1,0.042001872,0.09659721999999998,Achernar,0144,6.7,9.3,"3,000"
64,84,2MASS J08251968+2115521 [de],35.0,0.049638576000000004,0.10070773999999999,Achernar,0144,6.7,9.3,"3,000"
65,85,SDSSp J083008.12+482847.4 [de],43.0,0.045820224,0.10173536999999999,Achernar,0144,6.7,9.3,"3,000"
66,86,LHS 2021,55.0,0.084003744,0.11817744999999999,Achernar,0144,6.7,9.3,"3,000"
67,87,SDSS J083048.80+012831.1 [de],77.0,0.043911048,0.09865247999999999,Achernar,0144,6.7,9.3,"3,000"
68,88,2MASSI J0835425-081923 [de],23.53,0.059184456,0.102763,Hadar,0390,10.5,8.6,"42,000"
69,89,2MASSI J0847287-153237 [de],43.0,0.061093632,0.102763,Hadar,0390,10.5,8.6,"42,000"
70,90,2MASS J08533619-0329321,27.6,0.073503276,0.10995641,Hadar,0390,10.5,8.6,"42,000"
71,91,2MASSI J0859254-194926 [de],50.0,0.0477294,0.10070773999999999,Hadar,0390,10.5,8.6,"42,000"
72,93,2MASSI J0937347+293142,20.0,0.040092696000000004,0.09659721999999998,Hadar,0390,10.5,8.6,"42,000"
73,94,2MASS 0939−2448,17.4,0.030546816,0.09762484999999999,Hadar,0390,10.5,8.6,"42,000"
74,95,2MASS J09490860-1545485 [de],59.0,0.046774812,0.09865247999999999,Hadar,0390,10.5,8.6,"42,000"
75,96,2MASS J10073369-4555147,46.0,0.042001872,0.09659721999999998,Altair,0017,1.8,1.8,10.5
76,97,2MASSI J1010148-040649 [de],55.0,0.048683988000000004,0.10070773999999999,Altair,0017,1.8,1.8,10.5
77,100,2MASS J10224821+5825453 [de],60.0,0.025773876,0.14489582999999998,Altair,0017,1.8,1.8,10.5
78,101,2MASSW J1036530-344138 [de],53.0,0.046774812,0.09968010999999999,Altair,0017,1.8,1.8,10.5
